key_resp.keys,key_resp.corr,tilt,signal or noise,hit,miss,False alarm,Correct rejection,,HIT,miss,fa,cr,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-2,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,-5,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-2,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-3,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,0,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,-3,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,-2,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-4,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-2,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-3,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,0,-3,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-5,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-1,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,-5,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,-2,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
up,0,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,0,0,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-3,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,3,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,0,-1,noise,correct rejection,,,,,,,,1,,,,,,,,,,,,,
down,1,-3,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,-2,noise,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,4,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
down,1,2,signal,miss,,,,,,1,,,,,,,,,,,,,,,
down,1,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,1,0,signal,hit,,,,,1,,,,,,,,,,,,,,,,
up,0,1,signal,miss,,,,,,1,,,,,,,,,,,,,,,
TOTAL SUM,,,,,,,,,86,98,0.5,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Respond YES,Respond NO,,prop hit = hit/hit+miss,0.467391304,,,,,,,,,,,,,,,,,,,,
Signal Present,Hit,Miss,,prop fa = fa/fa+corr rejection,0.03030303,,,,,,,,,,,,,,,,,,,,
Signal Absent,False alarm,Correct Rejection,,,,,,,,,,,,,,,,,,,,,,,
,,,,d-prime = z(prop hit) -z(prop fa),1.794529452,,,,,,,,,,,,,,,,,,,,
,Respond YES,Respond NO,,c = -z(prop hit) + z(prop fa)/2,-0.856350172,,,,,,,,,,,,,,,,,,,,
Signal Present,86,98,,,,,,,,,,,,,,,,,,,,,,,
Signal Absent,0.5,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
